All paths and it's time using the transport below.
Bus: false
Subwalk: false
Walk: false
Heuristic usage: algorithm.Heuristic1
N13 N18 0.0076
N13 N19 0.00764
N13 N20 0.007639
N13 N21 0.00768
N13 N22 0.0076
N13 N23 0.00764
N13 N24 0.008
N13 N25 0.007761
N13 N26 0.007679
N13 N27 0.00796
N13 N28 0.007881
N13 N29 0.00764
N13 N30 0.01632
N14 N15 0.00924
N14 N16 0.00816
N14 N17 0.00828
N14 N18 0.00804
N14 N19 0.008081
N14 N20 0.007999
N14 N21 0.008121
N14 N22 0.00804
N14 N23 0.007959
N14 N24 0.008039
N14 N25 0.009481
N14 N26 0.007961
N14 N27 0.008321
N14 N28 0.008519
N14 N29 0.00804
N14 N30 0.00916
N15 N16 0.01332
N15 N17 0.009321
N15 N18 0.0086
N15 N19 0.0086
N15 N20 0.007361
N15 N21 0.0076
N15 N22 0.00732
N15 N23 0.00732
N15 N24 0.00744
N15 N25 0.007481
N15 N26 0.0074
N15 N27 0.007559
N15 N28 0.007399
N15 N29 0.00744
N15 N30 0.00888
N16 N17 0.00868
N16 N18 0.00824
N16 N19 0.0082
N16 N20 0.00692
N16 N21 0.00692
N16 N22 0.00692
N16 N23 0.00696
N16 N24 0.00708
N16 N25 0.669001
N16 N26 0.013881
N16 N27 0.02236
N16 N28 0.00624
N16 N29 0.00608
N16 N30 0.00632
N17 N18 0.00784
N17 N19 0.0072
N17 N20 0.00696
N17 N21 0.00716
N17 N22 0.006999
N17 N23 0.007041
N17 N24 0.007001
N17 N25 0.00724
N17 N26 0.007041
N17 N27 0.00724
N17 N28 0.036601
N17 N29 0.00744
N17 N30 0.00724
N18 N19 0.007319
N18 N20 0.00724
N18 N21 0.00612
N18 N22 0.00604
N18 N23 0.00604
N18 N24 0.00608
N18 N25 0.01044
N18 N26 0.00608
N18 N27 0.006401
N18 N28 0.00604
N18 N29 0.00608
N18 N30 0.006201
N19 N20 0.006039
N19 N21 0.00704
N19 N22 0.006
N19 N23 0.01052
N19 N24 0.006401
N19 N25 0.005999
N19 N26 0.00604
N19 N27 0.006281
N19 N28 0.00616
N19 N29 0.006079
N19 N30 0.014441
N20 N21 0.00676
N20 N22 0.01872
N20 N23 0.00656
N20 N24 0.00616
N20 N25 0.00624
N20 N26 0.00612
N20 N27 0.0064
N20 N28 0.00604
N20 N29 0.006001
N20 N30 0.00624
N21 N22 0.006321
N21 N23 0.00596
N21 N24 0.006
N21 N25 0.006
N21 N26 0.007039
N21 N27 0.0062
N21 N28 0.00604
N21 N29 0.005961
N21 N30 0.006119
N22 N23 0.00596
N22 N24 0.006
N22 N25 0.00608
N22 N26 0.0076
N22 N27 0.00616
N22 N28 0.00596
N22 N29 0.00588
N22 N30 0.00616
N23 N24 0.00784
N23 N25 0.00624
N23 N26 0.00616
N23 N27 0.006319
N23 N28 0.00604
N23 N29 0.00732
N23 N30 0.00636
N24 N25 0.006201
N24 N26 0.00596
N24 N27 0.006279
N24 N28 0.00596
N24 N29 0.006
N24 N30 0.006119
N25 N26 0.00608
N25 N27 0.00724
N25 N28 0.006
N25 N29 0.00708
N25 N30 0.00624
N26 N27 0.00728
N26 N28 0.00596
N26 N29 0.00588
N26 N30 0.00608
N27 N28 0.00648
N27 N29 0.00616
N27 N30 0.00628
N28 N29 0.005959
N28 N30 0.006039
N29 N30 0.00624
Average time of calculate path: 0.07267193
Max time of calculate path: 16.34088
------------------------------------------------------
All paths and it's time using the transport below.
Bus: false
Subwalk: false
Walk: true
Heuristic usage: algorithm.Heuristic1
N30 N30 0.029561
N30 N2 3.58772
N30 N3 0.929841
N30 N4 1.44268
N30 N5 1.728639
N30 N6 2.1594
N30 N7 0.395
N30 N8 1.5012
N30 N9 0.83652
N30 N10 1.54284
N30 N11 0.43504
N30 N12 2.03332
N30 N13 1.10012
N30 N14 0.04028
N30 N15 0.099199
N30 N16 3.01088
N30 N17 0.343079
N30 N18 0.921119
N30 N19 1.71892
N30 N20 2.4932
N30 N21 2.271801
N30 N22 0.70428
N30 N23 2.37248
N30 N24 0.854279
N30 N25 0.64784
N30 N26 0.48748
N30 N27 1.232
N30 N28 1.55488
N30 N29 0.601239
N30 N30 0.00428
N30 N30 0.00464
N30 N3 0.2054
N30 N4 0.38744
N30 N5 0.3296
N30 N6 0.41372
N30 N7 0.155
N30 N8 0.314801
N30 N9 0.1542
N30 N10 0.38928
N30 N11 0.37608
N30 N12 0.5108
N30 N13 0.21636
N30 N14 0.014519
N30 N15 0.03448
N30 N16 0.20224
N30 N17 0.05004
N30 N18 0.28356
N30 N19 0.95504
N30 N20 0.84544
N30 N21 0.45244
N30 N22 0.46556
N30 N23 0.38532
N30 N24 0.444639
N30 N25 5.35308
N30 N26 0.327281
N30 N27 3.43224
N30 N28 0.2404
N30 N29 0.21756
N30 N30 0.003641
N30 N30 0.00348
N30 N4 2.704441
N30 N5 0.817
N30 N6 0.147241
N30 N7 0.0498
N30 N8 1.997881
N30 N9 0.081041
N30 N10 0.59708
N30 N11 0.067041
N30 N12 0.292039
N30 N13 0.10616
N30 N14 0.00716
N30 N15 0.014359
N30 N16 0.096439
N30 N17 0.021241
N30 N18 0.13108
N30 N19 0.18116
N30 N20 0.216879
N30 N21 0.2398
N30 N22 0.23076
N30 N23 0.884839
N30 N24 0.23216
N30 N25 0.21736
N30 N26 0.16284
N30 N27 0.2208
N30 N28 0.18456
N30 N29 0.16736
N30 N30 0.003279
N30 N30 0.00336
N30 N5 0.18088
N30 N6 0.1088
N30 N7 0.04744
N30 N8 0.119119
N30 N9 0.053079
N30 N10 0.34996
N30 N11 0.06392
N30 N12 0.23148
N30 N13 0.10292
N30 N14 0.006921
N30 N15 0.013599
N30 N16 0.093319
N30 N17 0.019961
N30 N18 0.12628
N30 N19 0.17504
N30 N20 0.23264
N30 N21 0.22876
N30 N22 0.220921
N30 N23 0.1956
N30 N24 0.259681
N30 N25 0.2176
N30 N26 0.161001
N30 N27 0.22144
N30 N28 0.20964
N30 N29 0.16824
N30 N30 0.00336
N30 N30 0.003279
N30 N6 0.109401
N30 N7 0.047961
N30 N8 0.118999
N30 N9 0.05292
N30 N10 0.181801
N30 N11 0.065959
N30 N12 0.229001
N30 N13 0.102601
N30 N14 0.006719
N30 N15 0.01364
N30 N16 0.09336
N30 N17 0.02004
N30 N18 0.12616
N30 N19 0.17524
N30 N20 0.234441
N30 N21 0.2292
N30 N22 0.22208
N30 N23 0.1966
N30 N24 0.22964
N30 N25 0.21744
N30 N26 0.161279
N30 N27 0.221401
N30 N28 0.29964
N30 N29 0.17024
N30 N30 0.003319
N30 N30 0.00332
N30 N7 0.04884
N30 N8 0.119999
N30 N9 0.05376
N30 N10 0.18336
N30 N11 0.06656
N30 N12 0.231681
N30 N13 0.1034
N30 N14 0.006841
N30 N15 0.013799
N30 N16 0.09424
N30 N17 0.02056
N30 N18 0.12776
N30 N19 0.17648
N30 N20 0.20928
N30 N21 0.23076
N30 N22 0.22332
N30 N23 0.19808
N30 N24 1.208761
N30 N25 0.22452
N30 N26 0.157841
N30 N27 0.217399
N30 N28 0.243521
N30 N29 0.16596
N30 N30 0.003399
N30 N30 0.003321
N30 N8 0.1188
N30 N9 0.0524
N30 N10 0.179961
N30 N11 0.063561
N30 N12 0.22844
N30 N13 0.101721
N30 N14 0.006919
N30 N15 0.01352
N30 N16 1.73812
N30 N17 0.02376
N30 N18 0.12388
N30 N19 0.1706
N30 N20 0.201399
N30 N21 0.22528
N30 N22 0.215401
N30 N23 0.1902
N30 N24 0.2214
N30 N25 0.211639
N30 N26 0.19128
N30 N27 0.216199
N30 N28 0.179639
N30 N29 0.164361
N30 N30 0.00332
N30 N30 0.003281
N30 N9 0.05276
N30 N10 0.17896
N30 N11 0.062801
N30 N12 0.22404
N30 N13 0.10012
N30 N14 0.0068
N30 N15 0.01376
N30 N16 0.091079
N30 N17 0.019961
N30 N18 0.12388
N30 N19 0.202881
N30 N20 0.202561
N30 N21 0.22412
N30 N22 0.21696
N30 N23 0.1936
N30 N24 0.62516
N30 N25 0.217319
N30 N26 0.1524
N30 N27 0.2088
N30 N28 0.175201
N30 N29 0.159001
N30 N30 0.00336
N30 N30 0.00328
N30 N10 0.207
N30 N11 0.06148
N30 N12 0.21636
N30 N13 0.098279
N30 N14 0.007001
N30 N15 0.01372
N30 N16 0.089
N30 N17 0.01992
N30 N18 0.120361
N30 N19 0.401241
N30 N20 0.19888
N30 N21 0.21696
N30 N22 0.212241
N30 N23 0.18748
N30 N24 0.215121
N30 N25 0.207001
N30 N26 0.153041
N30 N27 0.211599
N30 N28 0.17632
N30 N29 0.16024
N30 N30 0.00336
N30 N30 0.00324
N30 N11 0.062321
N30 N12 0.21668
N30 N13 2.1786
N30 N14 0.02376
N30 N15 0.015441
N30 N16 0.095401
N30 N17 0.02016
N30 N18 0.12104
N30 N19 0.17176
N30 N20 0.197961
N30 N21 0.21572
N30 N22 0.20852
N30 N23 0.19896
N30 N24 0.213681
N30 N25 0.205639
N30 N26 0.15184
N30 N27 0.209079
N30 N28 2.72688
N30 N29 0.165721
N30 N30 0.003399
N30 N30 0.003241
N30 N12 0.244639
N30 N13 0.09936
N30 N14 0.006719
N30 N15 0.01332
N30 N16 0.08868
N30 N17 0.02088
N30 N18 0.12012
N30 N19 0.166961
N30 N20 0.19684
N30 N21 0.21628
N30 N22 0.211439
N30 N23 0.186959
N30 N24 0.21584
N30 N25 0.206921
N30 N26 0.152881
N30 N27 0.243841
N30 N28 0.17708
N30 N29 0.16024
N30 N30 0.00372
N30 N30 0.003399
N30 N13 0.09848
N30 N14 0.0068
N30 N15 0.013679
N30 N16 0.089161
N30 N17 0.021879
N30 N18 0.120601
N30 N19 0.16668
N30 N20 0.19732
N30 N21 0.24432
N30 N22 0.21316
N30 N23 0.189961
N30 N24 0.220119
N30 N25 0.2096
N30 N26 0.15512
N30 N27 0.21352
N30 N28 0.22388
N30 N29 0.163199
N30 N30 0.00348
N30 N30 0.0032
N30 N14 0.00716
N30 N15 0.17364
N30 N16 0.09124
N30 N17 0.02036
N30 N18 0.12108
N30 N19 0.206801
N30 N20 0.20124
N30 N21 0.219879
N30 N22 0.21276
N30 N23 0.216879
N30 N24 0.2188
N30 N25 0.208639
N30 N26 0.154759
N30 N27 0.212319
N30 N28 0.18084
N30 N29 0.1746
N30 N30 0.00724
N30 N30 0.00364
N30 N15 0.022239
N30 N16 0.09712
N30 N17 0.01996
N30 N18 0.12248
N30 N19 0.16992
N30 N20 0.251921
N30 N21 0.219401
N30 N22 0.211601
N30 N23 0.188641
N30 N24 0.22812
N30 N25 0.21076
N30 N26 0.155201
N30 N27 0.212519
N30 N28 0.178001
N30 N29 0.175401
N30 N30 0.003481
N30 N30 0.00324
N30 N16 0.09164
N30 N17 0.02044
N30 N18 0.1218
N30 N19 0.17028
N30 N20 0.200441
N30 N21 0.233441
N30 N22 0.213959
N30 N23 0.1904
N30 N24 0.21924
N30 N25 0.2216
N30 N26 0.155681
N30 N27 0.2142
N30 N28 0.179401
N30 N29 0.16268
N30 N30 0.00328
N30 N30 0.00324
N30 N17 0.020959
N30 N18 0.16432
N30 N19 0.17028
N30 N20 0.200639
N30 N21 0.220679
N30 N22 0.22464
N30 N23 0.191679
N30 N24 0.219201
N30 N25 0.21004
N30 N26 0.155481
N30 N27 0.285319
N30 N28 0.179721
N30 N29 0.16332
N30 N30 0.00348
N30 N30 0.003241
N30 N18 0.123559
N30 N19 0.19116
N30 N20 0.19988
N30 N21 0.220039
N30 N22 0.2128
N30 N23 0.19008
N30 N24 0.21996
N30 N25 0.210121
N30 N26 0.15544
N30 N27 0.417119
N30 N28 0.17996
N30 N29 0.16368
N30 N30 0.00328
N30 N30 0.003199
N30 N19 0.55716
N30 N20 0.19672
N30 N21 0.212039
N30 N22 0.21012
N30 N23 0.188681
N30 N24 1.5514
N30 N25 0.213599
N30 N26 0.155359
N30 N27 0.21048
N30 N28 0.176479
N30 N29 0.16032
N30 N30 0.003281
N30 N30 0.00324
N30 N20 0.197959
N30 N21 0.250281
N30 N22 0.21104
N30 N23 0.1878
N30 N24 0.21608
N30 N25 0.209519
N30 N26 0.153679
N30 N27 0.210719
N30 N28 0.17636
N30 N29 0.161079
N30 N30 0.003281
N30 N30 0.00328
N30 N21 0.218119
N30 N22 0.21068
N30 N23 0.187681
N30 N24 0.215641
N30 N25 0.20884
N30 N26 0.152961
N30 N27 0.210721
N30 N28 0.176359
N30 N29 0.160841
N30 N30 0.003319
N30 N30 0.00324
N30 N22 0.3626
N30 N23 0.187439
N30 N24 0.21444
N30 N25 0.25496
N30 N26 0.152599
N30 N27 0.21008
N30 N28 0.17544
N30 N29 0.15984
N30 N30 0.00332
N30 N30 0.00316
N30 N23 0.18836
N30 N24 0.216081
N30 N25 0.20724
N30 N26 0.15308
N30 N27 0.21264
N30 N28 0.17636
N30 N29 0.1606
N30 N30 0.003279
N30 N30 0.0032
N30 N24 0.21704
N30 N25 0.207641
N30 N26 0.154601
N30 N27 0.202841
N30 N28 0.16988
N30 N29 0.16748
N30 N30 0.00348
N30 N30 0.003919
N30 N25 0.2034
N30 N26 0.14848
N30 N27 0.2046
N30 N28 0.20752
N30 N29 0.16008
N30 N30 0.0034
N30 N30 0.003201
N30 N26 0.15304
N30 N27 0.21028
N30 N28 0.175559
N30 N29 0.1616
N30 N30 0.00328
N30 N30 0.00324
N30 N27 0.211
N30 N28 0.176839
N30 N29 0.160921
N30 N30 0.003279
N30 N30 0.003199
N30 N28 0.1944
N30 N29 0.160561
N30 N30 0.00344
N30 N30 0.00324
N30 N29 0.1604
N30 N30 0.00336
N30 N30 0.003399
N30 N30 0.003199
N30 N30 0.00316
Average time of calculate path: 0.27324307
Max time of calculate path: 5.35308
------------------------------------------------------
All paths and it's time using the transport below.
Bus: false
Subwalk: true
Walk: false
Heuristic usage: algorithm.Heuristic1
N30 N30 0.003761
N30 N2 0.15164
N30 N3 0.07272
N30 N4 0.11924
N30 N5 0.146321
N30 N6 0.0974
N30 N7 0.033801
N30 N8 0.114279
N30 N9 0.03988
N30 N10 0.1508
N30 N11 0.0536
N30 N12 0.151199
N30 N13 0.06708
N30 N14 0.006841
N30 N15 0.1508
N30 N16 0.06004
N30 N17 0.0122
N30 N18 0.0858
N30 N19 0.10748
N30 N20 0.12216
N30 N21 0.1884
N30 N22 0.153841
N30 N23 0.06784
N30 N24 0.095399
N30 N25 0.13216
N30 N26 0.142
N30 N27 0.15664
N30 N28 0.14612
N30 N29 0.15656
N30 N30 0.00336
N30 N30 0.003321
N30 N3 0.10396
N30 N4 0.125761
N30 N5 0.15384
N30 N6 0.098559
N30 N7 0.03368
N30 N8 0.112799
N30 N9 0.0392
N30 N10 0.16648
N30 N11 0.05128
N30 N12 0.30344
N30 N13 0.06628
N30 N14 0.00664
N30 N15 0.15
N30 N16 0.05868
N30 N17 0.012
N30 N18 0.22244
N30 N19 0.10748
N30 N20 0.12212
N30 N21 0.15436
N30 N22 0.153521
N30 N23 0.0678
N30 N24 0.12576
N30 N25 0.13236
N30 N26 0.14204
N30 N27 0.15724
N30 N28 0.14656
N30 N29 0.134839
N30 N30 0.003319
N30 N30 0.003239
N30 N4 0.15064
N30 N5 0.153241
N30 N6 0.09884
N30 N7 0.03408
N30 N8 0.11444
N30 N9 0.04004
N30 N10 0.1512
N30 N11 0.05188
N30 N12 0.15384
N30 N13 0.06696
N30 N14 0.006679
N30 N15 0.1516
N30 N16 0.05992
N30 N17 0.01212
N30 N18 0.085799
N30 N19 0.10736
N30 N20 0.12236
N30 N21 0.33112
N30 N22 0.15512
N30 N23 0.0678
N30 N24 0.09192
N30 N25 0.131319
N30 N26 0.14108
N30 N27 0.15888
N30 N28 0.14628
N30 N29 0.13452
N30 N30 0.00336
N30 N30 0.00324
N30 N5 0.15304
N30 N6 0.09896
N30 N7 0.03392
N30 N8 0.11448
N30 N9 0.09876
N30 N10 0.15164
N30 N11 0.05184
N30 N12 0.15284
N30 N13 0.06748
N30 N14 0.006921
N30 N15 0.151521
N30 N16 0.0598
N30 N17 0.01196
N30 N18 0.085921
N30 N19 0.108801
N30 N20 0.1226
N30 N21 0.153959
N30 N22 0.15336
N30 N23 0.06828
N30 N24 0.09208
N30 N25 0.6058
N30 N26 0.142599
N30 N27 0.1586
N30 N28 0.15988
N30 N29 0.136719
N30 N30 0.003321
N30 N30 0.00328
N30 N6 0.09988
N30 N7 0.03404
N30 N8 0.114841
N30 N9 0.04008
N30 N10 0.151881
N30 N11 0.05208
N30 N12 0.175961
N30 N13 0.067919
N30 N14 0.006679
N30 N15 0.152159
N30 N16 0.060281
N30 N17 0.0124
N30 N18 0.086281
N30 N19 0.107759
N30 N20 0.123041
N30 N21 0.18588
N30 N22 0.154961
N30 N23 0.06824
N30 N24 0.092559
N30 N25 0.13276
N30 N26 0.14304
N30 N27 0.158281
N30 N28 0.174399
N30 N29 0.1366
N30 N30 0.00336
N30 N30 0.003241
N30 N7 0.034439
N30 N8 0.114839
N30 N9 0.040199
N30 N10 0.15244
N30 N11 0.052121
N30 N12 0.168641
N30 N13 0.067601
N30 N14 0.006639
N30 N15 0.152041
N30 N16 0.06004
N30 N17 0.0122
N30 N18 0.086881
N30 N19 0.10808
N30 N20 0.124881
N30 N21 0.24016
N30 N22 0.15688
N30 N23 0.069159
N30 N24 0.093719
N30 N25 0.13452
N30 N26 0.14488
N30 N27 0.16244
N30 N28 0.14964
N30 N29 0.137719
N30 N30 0.00328
N30 N30 0.00324
N30 N8 0.117359
N30 N9 0.04056
N30 N10 0.15516
N30 N11 0.0526
N30 N12 0.161201
N30 N13 0.073559
N30 N14 0.00684
N30 N15 0.151399
N30 N16 0.07912
N30 N17 0.012481
N30 N18 0.086761
N30 N19 0.10636
N30 N20 0.121601
N30 N21 0.153199
N30 N22 0.155039
N30 N23 0.06724
N30 N24 0.0912
N30 N25 0.130919
N30 N26 0.14076
N30 N27 0.15624
N30 N28 0.14568
N30 N29 0.13596
N30 N30 0.00332
N30 N30 0.0032
N30 N9 0.04036
N30 N10 0.151239
N30 N11 0.05172
N30 N12 0.151319
N30 N13 0.066839
N30 N14 0.006799
N30 N15 0.15104
N30 N16 0.05988
N30 N17 0.012001
N30 N18 0.08644
N30 N19 0.10724
N30 N20 0.122359
N30 N21 0.153121
N30 N22 0.153799
N30 N23 0.068241
N30 N24 0.09216
N30 N25 0.13384
N30 N26 0.14216
N30 N27 0.15696
N30 N28 0.14636
N30 N29 0.13516
N30 N30 0.00328
N30 N30 0.00324
N30 N10 1.24328
N30 N11 0.05864
N30 N12 0.153959
N30 N13 0.065521
N30 N14 0.006721
N30 N15 0.14908
N30 N16 0.058721
N30 N17 0.011721
N30 N18 0.08416
N30 N19 0.107081
N30 N20 0.120241
